"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\reset-password.service.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\reset-password\reset-password.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 3, 4, 49
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 3, 10, 109
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\service\authentication.service.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 19, 115
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\service\notification.service.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\service\reset-password.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\temp.html", "HTML", 0, 0, 0, 0, 127, 0, 0, 0, 17, 23, 167
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.html", "HTML", 0, 0, 0, 0, 309, 0, 0, 0, 4, 8, 321
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user-managment\user-managment.component.ts", "TypeScript", 0, 0, 0, 437, 0, 0, 0, 0, 10, 41, 488
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\user.service.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 12, 8, 84
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\users.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\icon\gender-1.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\icon\gender-2.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\icon\gender-3.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\images\search-thin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\assets\images\user-circle-thin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"z:\PROJECTS_FRONTED\vulcanizerapp\src\environments\environment.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 11, 3, 18
"z:\PROJECTS_FRONTED\vulcanizerapp\src\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"z:\PROJECTS_FRONTED\vulcanizerapp\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"z:\PROJECTS_FRONTED\vulcanizerapp\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 47, 6, 54
"z:\PROJECTS_FRONTED\vulcanizerapp\src\styles.css", "CSS", 0, 0, 0, 0, 0, 591, 0, 0, 16, 108, 715
"z:\PROJECTS_FRONTED\vulcanizerapp\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 5, 27
"z:\PROJECTS_FRONTED\vulcanizerapp\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"z:\PROJECTS_FRONTED\vulcanizerapp\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 0, 1, 1, 33
"z:\PROJECTS_FRONTED\vulcanizerapp\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 31, 20668, 14, 1682, 840, 591, 5, 37, 189, 454, 24511
